"qid","q","full_name","type","selector","subselector","text","part","to_name","options","choices","block_title","question","origin"
"qid2","q1","resi_ny","mc","savr","tx","do you currently live in new york city? (select one)",NA,NA,"1,2","yes; no","new york resident? ",1,"survey question"
"qid65","q2","res_length","mc","savr","tx","how long have you lived in new york city? (select one)",NA,NA,"1,2,3","&lt;1 year; 2-5 years; 6+ years","new york resident? ",2,"survey question"
"qid3","q3","zip","te","sl",NA,"what is your zip code?",NA,NA,NA,NA,"demographics",3,"survey question"
"qid70","q4_6","cross_1","te","form",NA,"what are the closest cross-streets to where you live? (for example, 118th st. and amsterdam ave.)","street/avenue 1",NA,"6,7","free form entry","demographics",4,"survey question"
"qid70","q4_7","cross_2","te","form",NA,"what are the closest cross-streets to where you live? (for example, 118th st. and amsterdam ave.)","street/avenue 2",NA,"6,7","free form entry","demographics",4,"survey question"
"qid5","q5","age","te","sl",NA,"how old are you?",NA,NA,NA,NA,"demographics",5,"survey question"
"qid107","q6","gen","mc","savr","tx","with which gender do you identify? (select one)",NA,NA,"1,2,4,5,6,7","male; female; non-binary; other; prefer not to say; transgender (including transgender man and transgender woman)","demographics",6,"survey question"
"qid107","q6_5_text","gen_text","mc","savr","tx","with which gender do you identify? (select one)",NA,NA,NA,NA,"demographics",6,"survey question"
"qid108","q7_1","race_his_lat","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"hispanic or latinx","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_2","race_white","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"white","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_3","race_black","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"black or african american","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_4","race_native","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"native american or alaska native","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_5","race_e_asian","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"east asian (e.g. chinese, korean, japanese)","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_6","race_haw","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"native hawaiian or pacific islander","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_7","race_other","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"other","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_8","race_pnta","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"prefer not to answer","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7_9","race_s_asian","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,"south asian (e.g. indian, pakistani, bangladeshi)","1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question dummy"
"qid108","q7","race","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,NA,"1,2,3,4,5,6,7,8,9","hispanic or latinx; white; black or african american; native american or alaska native; east asian (e.g. chinese, korean, japanese); native hawaiian or pacific islander; other; prefer not to answer; south asian (e.g. indian, pakistani, bangladeshi)","demographics",7,"survey question"
"qid108","q7_7_text","race_text","mc","mavr","tx","please choose one or more races/ethnicities that you consider yourself to be. (select all that apply)",NA,NA,NA,NA,"demographics",7,"survey question"
"qid8","q8","mar","mc","savr","tx","what is your marital status? (select one)",NA,NA,"1,2,3,4,5","single (never married); married or in a domestic partnership; widowed; divorced; separated","demographics",8,"survey question"
"qid9","q9","relig","mc","savr","tx","with which religion do you identify? (select one)",NA,NA,"1,2,3,4,5,6,7,8","catholic / catholicism; protestant / protestantism; jewish / judaism; muslim / islam; hindu / hinduism; other; no religion/unaffiliated; prefer not to say","demographics",9,"survey question"
"qid9","q9_6_text","relig_text","mc","savr","tx","with which religion do you identify? (select one)",NA,NA,NA,NA,"demographics",9,"survey question"
"qid109","q10","sex","mc","savr","tx","which of the following best describes your sexual orientation? (select one)",NA,NA,"1,2,3,4,5,6","heterosexual; homosexual; bisexual; something else, please specify; prefer not to say; i'm not sure","demographics",10,"survey question"
