responseid,recordeddate,duration,userlanguage,source,gc,aid,distributionchannel,resi_ny,res_length,zip,cross_1,cross_2,age,gen,gen_text,race,race_his_lat,race_white,race_black,race_native,race_haw,race_e_asian,race_other,race_s_asian,race_pnta,race_text,mar,relig,relig_text,sex,sex_text,lang,lang_text,disab,disab_cog,disab_phys,disab_none,disab_pnta,sch_level,sch_level_text,labor,hh_sn_65,hh_ad_18_64,hh_ch_6_17,hh_ch_3_5,hh_ch_0_2,income,inc_ch,emp_before,emp_before_ft,emp_before_pt,emp_before_gig,emp_before_sb,emp_before_st,emp_before_fl,emp_before_re,emp_before_hm,emp_before_other,emp_before_un,emp_before_text,emp_after,emp_after_ft,emp_after_pt,emp_after_fl,emp_after_sb,emp_after_st,emp_after_gig,emp_after_hm,emp_after_other,emp_after_re,emp_after_un,emp_after_text,wrk,emp_reas,emp_reas_laid,emp_reas_fire,emp_reas_pay,emp_reas_ben,emp_reas_new,emp_reas_covid,emp_reas_re,emp_reas_train,emp_reas_other,emp_reas_na,emp_reas_text,unemp_ben,unemp_tm,unemp_diff,unemp_diff_lang,unemp_diff_nav,unemp_diff_app,unemp_diff_tech,unemp_diff_den,unemp_diff_not_app,unemp_diff_other,unemp_diff_no_diff,unemp_diff_text,res_type,res_type_rent,diff_afford,diff_afford_food,diff_afford_trans,diff_afford_util,diff_afford_rent,diff_afford_internet,diff_afford_hc,diff_afford_cc,diff_afford_tech,diff_afford_none,diff_access,diff_access_food,diff_access_ss,diff_access_trans,diff_access_hous,diff_access_internet,diff_access_hc,diff_access_test,diff_access_cc,diff_access_none,diff_access_tech,insecure,insecure_food_worr,insecure_food_ran_out,insecure_hous,insecure_evict,insecure_none,ins,ins_priv,ins_emp,ins_care,ins_caid,ins_idk,ins_none,trans_drive,trans_taxi,trans_carpool,trans_public_bus,trans_priv_bus,trans_subway,trans_rail,trans_ferry,trans_bike,trans_walk,rate_gov,rate_neigh_gar,rate_neigh_pot,rate_neigh_lib,rate_neigh_pub,rate_neigh_rec,rate_neigh_code,rate_neigh_med,rate_neigh_pol,rate_neigh_pre,lr_stress,lr_stress_fb,lr_stress_np,lr_stress_gov,lr_stress_emp,lr_stress_uni,lr_stress_ff,lr_stress_idk,lr_trans,lr_trans_fb,lr_trans_np,lr_trans_gov,lr_trans_emp,lr_trans_uni,lr_trans_ff,lr_trans_idk,lr_food,lr_food_fb,lr_food_np,lr_food_gov,lr_food_emp,lr_food_uni,lr_food_ff,lr_food_idk,lr_hc,lr_hc_fb,lr_hc_np,lr_hc_gov,lr_hc_emp,lr_hc_uni,lr_hc_ff,lr_hc_idk,lr_util,lr_util_fb,lr_util_np,lr_util_gov,lr_util_emp,lr_util_uni,lr_util_ff,lr_util_idk,lr_cc,lr_cc_fb,lr_cc_np,lr_cc_gov,lr_cc_emp,lr_cc_uni,lr_cc_ff,lr_cc_idk,lr_ec,lr_ec_fb,lr_ec_np,lr_ec_gov,lr_ec_emp,lr_ec_uni,lr_ec_ff,lr_ec_idk,stress_unc,stress_conf,stress_way,stress_pile,safe_home,safe_work,safe_commute,safe_sch,safe_reas,safe_reas_pol_lack,safe_reas_light,safe_reas_pol_pres,safe_reas_drug_alc,safe_reas_news,safe_reas_none,av_crime,av_crime_hc,av_crime_trans,av_crime_sch,av_crime_work,av_crime_pub_space,av_crime_ent,av_crime_shop,av_crime_relig,av_crime_none,pol_local,pol_exp_gen,pol_exp_dist,pol_exp_ment,pol_exp_self,pol_exp_neigh,pol_exp_crime,exp,exp_ab,exp_vi,exp_none,exp_pnta,discrim,stressors,email,phone,any_else,any_else_fut_yes,any_else_fut_no,demographic_na,policy_na,exclusion_reason,borough,bronx,bk,mh,qu,si,neighborhood,completion,gender,sex_orientation,religion,religion_group,lgbtq_bi,lgbtq,bronx_bi,brooklyn_bi,queens_bi,manhattan_bi,staten_island_bi,english_lang,asian,race_census,race_census2,race_census3,hh_size,hh_ad_one,hh_sn_65_bi,hh_ch_6_17_bi,hh_ch_3_5_bi,hh_ch_0_2_bi,hh_ch_0_17_bi,hh_ch_sn,hh_child,hh_elderly,dis,cog_dis,phys_dis,both_dis,hh_disability,edu_cat,sch_level_cat,sch_bach,education,inc_neg,inc_pos,inc_same,below_poverty_bi,inc_dist,inc_ab_med,inc_be_med,inc_level,below_poverty,below_median,wrk_in,emp_status_before,emp_status_after,emp_change,emp_before_part_time,emp_after_part_time,discrim_bi,exp_ab_or_vi,exp_ab_and_vi,rate_neigh_pub_good,rate_neigh_rec_good,rate_neigh_code_good,rate_neigh_pol_good,rate_neigh_pre_good,rate_neigh_pub_bad,rate_neigh_rec_bad,rate_neigh_code_bad,rate_neigh_pol_bad,rate_neigh_pre_bad,rate_gov_bad,rate_gov_good,stress_score,stress_bi,ins_has,lr_fam,lr_gov,lr_fb,lr_np,lr_uni,lr_emp,food_insec,house_insec,fin_insec,res_insec,sev_food_insec,sev_house_insec
r_9yos5jn9qeam2dn,2023-10-18T06:20:53Z,159253,en,,99,,99,1,3,11419,127 st,102 road,30,1,,other,0,0,0,0,0,0,1,0,0,indo-caribbean,1,5,,1,,0,,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,3,,4,1,1,0,0,0,3,3,full-time employee,1,0,0,0,0,0,0,0,0,0,,full-time employee,1,0,0,0,0,0,0,0,0,0,,3,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,4,,system too difficult to navigate;had trouble completing application,0,1,1,0,0,0,0,0,,3,,none of the above,0,0,0,0,0,0,0,0,1,health care services,0,0,0,0,0,1,0,0,0,0,none of the above,0,0,0,0,1,employer-provided insurance,0,1,0,0,0,0,,1,,,,2,3,,,,4,1,3,2,2,3,4,1,1,2,faith-based organizations;community non-profits;friends/family,1,1,0,0,0,1,0,my employer/business,0,0,0,1,0,0,0,faith-based organizations;government agencies,1,0,1,0,0,0,0,my employer/business,0,0,0,1,0,0,0,government agencies,0,0,1,0,0,0,0,community non-profits;friends/family,0,1,0,0,0,1,0,government agencies;not sure/not applicable,0,0,1,0,0,0,1,2,1,2,4,1,1,3,3,drug and alcohol use in public;local news (print or digital) coverage of crime,0,0,0,1,1,0,using public transportation,0,1,0,0,0,0,0,0,0,3,2,1,2,2,1,1,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,2,"mental health services have been particularly difficult to receive. many providers simply cannot take on new patients, have too many already, or are unavailable.",rsingh@nycpg.org,646-831-6773,"yes, i would like to be contacted for future surveys or modules",1,0,34,188,include,queens,,,,southwest queens,,southwest queens,0.9090909090909091,male,heterosexual,hindu / hinduism,"Minority (Jewish, Muslim, Hindu)",,,FALSE,FALSE,TRUE,FALSE,FALSE,English spoken at home,0,other,other,other,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,Has senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,"some college, no degree",3,0,Less than Bachelor's,0,0,1,1,2,FALSE,TRUE,HH income between $36500 and $69500,Below Poverty Level,Below Median Income,TRUE,employed,employed,FALSE,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0
r_31fymergqhcqrpj,2023-10-18T08:02:08Z,163876,en,,99,,99,1,2,11233,howard ave,saratoga ave,34,2,,hispanic or latinx,1,0,0,0,0,0,0,0,0,,1,3,,1,,1,spanish,"yes, i currently am living with a cognitive disability",1,0,0,0,5,,4,0,1,0,0,0,3,3,full-time employee,1,0,0,0,0,0,0,0,0,0,,full-time employee,1,0,0,0,0,0,0,0,0,0,,3,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,4,,system too difficult to navigate;previously denied for unemployment benefits,0,1,0,0,1,0,0,0,,1,3,"food;transportation;paying utilities (e.g. electricity, water, gas);paying rent/mortgage;health care services",1,1,1,1,0,1,0,0,0,food;social services and/or benefits (e.g. food stamps);housing;health care services,1,1,0,1,0,1,0,0,0,0,worried about running out of food;ran out of food or was unable to afford food;difficulty finding housing;eviction or threat of eviction,1,1,1,1,0,"no, i do not have any form of health insurance",0,0,0,0,0,1,,2,,,,1,,,3,,5,3,4,3,3,4,4,3,4,4,community non-profits;friends/family,0,1,0,0,0,1,0,government agencies;friends/family,0,0,1,0,0,1,0,faith-based organizations;community non-profits;government agencies;friends/family,1,1,1,0,0,1,0,community non-profits;government agencies,0,1,1,0,0,0,0,community non-profits;government agencies,0,1,1,0,0,0,0,not sure/not applicable,0,0,0,0,0,0,1,not sure/not applicable,0,0,0,0,0,0,1,5,2,2,5,3,2,4,4,lack of lighting in my neighborhood,0,1,0,0,0,0,spending time in an outdoor public space;going out to evening entertainment/lesiure;going shopping/running errands,0,0,0,0,1,1,1,0,0,1,1,2,2,2,2,3,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,2,lack of resources available to individuals just above the poverty line,jls06hcc@gmail.com,7139797040,"yes, i would like to be contacted for future surveys or modules",1,0,34,189,include,brooklyn,,central brooklyn,,,,central brooklyn,0.9128787878787878,female,heterosexual,jewish / judaism,"Minority (Jewish, Muslim, Hindu)",,,FALSE,TRUE,FALSE,FALSE,FALSE,Other langugage spoken at home,0,hispanic or latinx,hispanic or latinx,hispanic or latinx,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,TRUE,TRUE,FALSE,FALSE,Household with a disability,bachelor’s degree,5,1,Bachelor's or Higher,0,0,1,0,2,FALSE,TRUE,HH income between $36500 and $69500,Above Poverty Level,Below Median Income,TRUE,employed,employed,FALSE,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,14,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1
r_2qatmz817j20lvz,2023-10-18T12:19:40Z,1418,zh-s,,99,,99,1,2,10027,w 118th st.,amsterdam ave.,23,2,,"east asian (e.g. chinese, korean, japanese)",0,0,0,0,0,1,0,0,0,,1,7,,1,,1,chinese,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,6,,4,0,2,0,0,0,1,1,student,0,0,0,0,1,0,0,0,0,0,,student,0,0,0,0,1,0,0,0,0,0,,1,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,4,,did not need to access unemployment benefits,0,0,0,0,0,1,0,0,,2,3,none of the above,0,0,0,0,0,0,0,0,1,none of the above,0,0,0,0,0,0,0,0,1,0,none of the above,0,0,0,0,1,private insurance;employer-provided insurance,1,1,0,0,0,0,,3,,,,1,,,,2,6,4,4,3,5,5,5,3,3,3,friends/family,0,0,0,0,0,1,0,friends/family,0,0,0,0,0,1,0,community non-profits;government agencies;friends/family,0,1,1,0,0,1,0,my employer/business,0,0,0,1,0,0,0,government agencies,0,0,1,0,0,0,0,not sure/not applicable,0,0,0,0,0,0,1,community non-profits,0,1,0,0,0,0,0,3,5,3,3,1,2,4,4,lack of police in my neighborhood;lack of lighting in my neighborhood;drug and alcohol use in public;local news (print or digital) coverage of crime,1,1,0,1,1,0,using public transportation;going to work;going out to evening entertainment/lesiure,0,1,0,1,0,1,0,0,0,3,1,1,3,3,1,1,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,3,无,mc5287@columbia.edu,6803560119,"yes, i would like to be contacted for future surveys or modules",1,0,34,189,include,manhattan,,,central harlem,,,central harlem,0.9128787878787878,female,heterosexual,no religion/unaffiliated,None/Unaffiliated,,,FALSE,FALSE,FALSE,TRUE,FALSE,Other langugage spoken at home,1,"east asian (e.g. chinese, korean, japanese)",asian,asian,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,master’s degree,6,1,Bachelor's or Higher,0,1,0,1,1,FALSE,TRUE,HH income below $36500,Below Poverty Level,Below Median Income,TRUE,student,student,FALSE,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,14,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0
r_3kql6grtte1aggs,2023-10-18T13:57:05Z,2757,en,,99,,99,1,2,10025,112th st,broadway,35,1,,other,0,0,0,0,0,0,1,0,0,south east asian,1,4,,2,,1,indonesian,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,5,,4,0,1,0,0,0,4,1,full-time employee;student,1,0,0,0,1,0,0,0,0,0,,student,0,0,0,0,1,0,0,0,0,0,,1,returned to school or job training,0,0,0,0,0,0,0,1,0,0,,4,,system too difficult to navigate,0,1,0,0,0,0,0,0,,1,3,none of the above,0,0,0,0,0,0,0,0,1,housing,0,0,0,1,0,0,0,0,0,0,difficulty finding housing,0,0,1,0,0,private insurance,1,0,0,0,0,0,,,,,,1,,3,2,,3,3,3,2,2,2,2,4,3,4,friends/family,0,0,0,0,0,1,0,friends/family,0,0,0,0,0,1,0,friends/family,0,0,0,0,0,1,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,3,3,3,3,2,1,2,3,lack of police in my neighborhood;lack of lighting in my neighborhood;police presence in my neighborhood;drug and alcohol use in public;local news (print or digital) coverage of crime,1,1,1,1,1,0,using public transportation;going to work;spending time in an outdoor public space;going out to evening entertainment/lesiure;going shopping/running errands;going to a place of worship,0,1,0,1,1,1,1,1,0,3,3,1,3,3,1,1,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,1,,,,"no, i would not like to be contacted for future surveys or modules",0,1,35,189,include,manhattan,,,upper west side,,,upper west side,0.9053030303030303,male,homosexual,muslim / islam,"Minority (Jewish, Muslim, Hindu)",1,LGBTQIA+,FALSE,FALSE,FALSE,TRUE,FALSE,Other langugage spoken at home,0,other,other,other,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,bachelor’s degree,5,1,Bachelor's or Higher,0,1,0,0,3,TRUE,FALSE,HH income above $69500,Above Poverty Level,Above Median Income,TRUE,employed,student,TRUE,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,1
r_265cxkuqdctqpyv,2023-10-19T09:15:34Z,254071,en,,99,,99,1,3,10453,182st,creston ave,26,2,,hispanic or latinx,1,0,0,0,0,0,0,0,0,,1,1,,1,,1,spanish,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,4,,4,0,1,0,0,1,3,1,unemployed,0,0,0,0,0,0,0,0,0,1,,full-time employee,1,0,0,0,0,0,0,0,0,0,,1,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,3,,system too difficult to navigate;had trouble completing application;previously denied for unemployment benefits,0,1,1,0,1,0,0,0,,1,4,"food;transportation;paying utilities (e.g. electricity, water, gas);paying rent/mortgage;internet;childcare",1,1,1,1,1,0,1,0,0,food;social services and/or benefits (e.g. food stamps);transportation;housing;internet;covid-19 tests;childcare,1,1,1,1,1,0,1,1,0,0,worried about running out of food;ran out of food or was unable to afford food;eviction or threat of eviction,1,1,0,1,0,private insurance,1,0,0,0,0,0,,2,,3,,1,,,,,4,3,5,3,5,4,4,5,4,4,community non-profits,0,1,0,0,0,0,0,government agencies,0,0,1,0,0,0,0,community non-profits;government agencies,0,1,1,0,0,0,0,community non-profits;government agencies,0,1,1,0,0,0,0,faith-based organizations;community non-profits;government agencies,1,1,1,0,0,0,0,government agencies;my employer/business,0,0,1,1,0,0,0,not sure/not applicable,0,0,0,0,0,0,1,5,1,2,4,2,3,4,3,lack of police in my neighborhood;drug and alcohol use in public,1,0,0,1,0,0,spending time in an outdoor public space;going shopping/running errands,0,0,0,0,1,0,1,0,0,2,2,1,3,3,3,3,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,1,lo,,,"no, i would not like to be contacted for future surveys or modules",0,1,34,189,include,bronx,central bronx,,,,,central bronx,0.9053030303030303,female,heterosexual,catholic / catholicism,Christian,,,TRUE,FALSE,FALSE,FALSE,FALSE,Other langugage spoken at home,0,hispanic or latinx,hispanic or latinx,hispanic or latinx,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Has children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,associate’s degree,4,0,Less than Bachelor's,0,1,0,1,2,FALSE,TRUE,HH income between $36500 and $69500,Below Poverty Level,Below Median Income,TRUE,unemployed,employed,TRUE,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,12,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1
r_1he8avszadvmfi0,2023-10-19T14:52:06Z,276938,en,,99,,99,1,1,10030,west 145th street,edgecombe ave,32,1,,white,0,1,0,0,0,0,0,0,0,,2,2,,3,,0,,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,5,,4,0,2,0,0,0,4,3,full-time employee,1,0,0,0,0,0,0,0,0,0,,full-time employee,1,0,0,0,0,0,0,0,0,0,,3,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,4,,did not need to access unemployment benefits,0,0,0,0,0,1,0,0,,1,3,transportation,0,1,0,0,0,0,0,0,0,none of the above,0,0,0,0,0,0,0,0,1,0,none of the above,0,0,0,0,1,employer-provided insurance,0,1,0,0,0,0,,,,,,2,,,,1,3,2,3,5,5,2,5,5,5,5,friends/family,0,0,0,0,0,1,0,my employer/business,0,0,0,1,0,0,0,friends/family,0,0,0,0,0,1,0,not sure/not applicable,0,0,0,0,0,0,1,not sure/not applicable,0,0,0,0,0,0,1,not sure/not applicable,0,0,0,0,0,0,1,not sure/not applicable,0,0,0,0,0,0,1,3,3,4,2,1,1,2,2,drug and alcohol use in public,0,0,0,1,0,0,none of the above,0,0,0,0,0,0,0,0,1,3,1,3,3,3,3,1,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,3,"healthcare debt, student loan debt, and increased cost of car insurance have been major burdens.",alex.ogle@weact.org,7292561746,"yes, i would like to be contacted for future surveys or modules",1,0,33,188,include,manhattan,,,central harlem,,,central harlem,0.9053030303030303,male,bisexual,protestant / protestantism,Christian,1,LGBTQIA+,FALSE,FALSE,FALSE,TRUE,FALSE,English spoken at home,0,white,white,white,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,bachelor’s degree,5,1,Bachelor's or Higher,0,0,1,0,3,TRUE,FALSE,HH income above $69500,Above Poverty Level,Above Median Income,TRUE,employed,employed,FALSE,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0
r_2evni204zfvtqxj,2023-10-19T16:30:04Z,120,en,38,99,,99,1,1,10025,dnd,dddndnnd,23,2,,hispanic or latinx,1,0,0,0,0,0,0,0,0,,1,1,,1,,0,,"yes, i currently am living with a cognitive disability",1,0,0,0,3,,2,0,1,0,0,0,1,1,full-time employee,1,0,0,0,0,0,0,0,0,0,,part-time employee,0,1,0,0,0,0,0,0,0,0,,1,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,1,1,system too difficult to navigate,0,1,0,0,0,0,0,0,,1,2,paying rent/mortgage,0,0,0,1,0,0,0,0,0,food,1,0,0,0,0,0,0,0,0,0,ran out of food or was unable to afford food,0,1,0,0,0,medicare,0,0,1,0,0,0,1,,,2,,,3,,,,1,3,4,2,2,2,3,4,3,1,community non-profits,0,1,0,0,0,0,0,friends/family,0,0,0,0,0,1,0,not sure/not applicable,0,0,0,0,0,0,1,my unions,0,0,0,0,1,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,friends/family,0,0,0,0,0,1,0,3,4,4,3,1,4,4,,lack of police in my neighborhood,1,0,0,0,0,0,going to a healthcare facility,1,0,0,0,0,0,0,0,0,2,1,2,2,1,2,2,"yes, i have experienced verbal abuse",1,0,0,0,1,,,,"no, i would not like to be contacted for future surveys or modules",0,1,33,189,include,manhattan,,,upper west side,,,upper west side,0.9015151515151515,female,heterosexual,catholic / catholicism,Christian,,,FALSE,FALSE,FALSE,TRUE,FALSE,English spoken at home,0,hispanic or latinx,hispanic or latinx,hispanic or latinx,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,TRUE,TRUE,FALSE,FALSE,Household with a disability,"some college, no degree",3,0,Less than Bachelor's,0,1,0,1,1,FALSE,TRUE,HH income below $36500,Below Poverty Level,Below Median Income,TRUE,employed,employed,TRUE,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0
r_xlbbojspwx4txv7,2023-10-20T10:15:04Z,118,en,,99,,99,1,1,10025,w 107th,columbus,23,2,,hispanic or latinx,1,0,0,0,0,0,0,0,0,,1,1,,1,,0,,"yes, i currently am living with a cognitive disability",1,0,0,0,1,,1,0,1,0,0,0,1,1,full-time employee,1,0,0,0,0,0,0,0,0,0,,self employed - small business owner,0,0,0,1,0,0,0,0,0,0,,1,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,1,1,language barriers,1,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,48,include,manhattan,,,upper west side,,,upper west side,0.3522727272727273,female,heterosexual,catholic / catholicism,Christian,,,FALSE,FALSE,FALSE,TRUE,FALSE,English spoken at home,0,hispanic or latinx,hispanic or latinx,hispanic or latinx,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,TRUE,TRUE,FALSE,FALSE,Household with a disability,no high school diploma or equivalent,1,0,Less than Bachelor's,0,1,0,1,1,FALSE,TRUE,HH income below $36500,Below Poverty Level,Below Median Income,TRUE,employed,employed,TRUE,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1rkaj4frkd1so59,2023-10-20T10:35:52Z,474,en,,99,,99,1,1,10024,80th st.,amsterdam ave.,25,2,,white,0,1,0,0,0,0,0,0,0,,1,3,,3,,0,,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,6,,4,0,2,0,0,0,1,1,student,0,0,0,0,1,0,0,0,0,0,,full-time employee,1,0,0,0,0,0,0,0,0,0,,1,pivoted to a new industry/career,0,0,0,0,1,0,0,0,0,0,,4,,did not need to access unemployment benefits,0,0,0,0,0,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,4,3,4,3,4,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,my employer/business,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,113,include,manhattan,,,upper west side,,,upper west side,0.5984848484848485,female,bisexual,jewish / judaism,"Minority (Jewish, Muslim, Hindu)",1,LGBTQIA+,FALSE,FALSE,FALSE,TRUE,FALSE,English spoken at home,0,white,white,white,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,master’s degree,6,1,Bachelor's or Higher,0,1,0,1,1,FALSE,TRUE,HH income below $36500,Below Poverty Level,Below Median Income,TRUE,student,employed,TRUE,1,1,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,
r_1q4fherv70wid7x,2023-10-20T16:30:36Z,673,en,,99,,99,1,1,10027,amsterdam,121st,25,1,,hispanic or latinx,1,0,0,0,0,0,0,0,0,,1,7,,1,,1,spanish,"no, i am not currently living with a cognitive or physical disability",0,0,1,0,5,,4,0,1,0,0,0,2,1,part-time employee;student,0,1,0,0,1,0,0,0,0,0,,part-time employee;student,0,1,0,0,1,0,0,0,0,0,,4,does not apply to me / my employment status has not changed,0,0,0,0,0,0,0,0,0,1,,4,,did not need to access unemployment benefits,0,0,0,0,0,1,0,0,,1,3,food;transportation;paying rent/mortgage;health care services,1,1,0,1,0,1,0,0,0,social services and/or benefits (e.g. food stamps),0,1,0,0,0,0,0,0,0,0,,,,,,,private insurance,1,0,0,0,0,0,,,,3,,1,,,,2,3,4,5,2,4,3,5,5,4,4,friends/family,0,0,0,0,0,1,0,friends/family,0,0,0,0,0,1,0,government agencies;friends/family,0,0,1,0,0,1,0,my employer/business;friends/family,0,0,0,1,0,1,0,friends/family,0,0,0,0,0,1,0,not sure/not applicable,0,0,0,0,0,0,1,not sure/not applicable,0,0,0,0,0,0,1,4,3,3,3,2,1,2,3,lack of police in my neighborhood;drug and alcohol use in public;local news (print or digital) coverage of crime,1,0,0,1,1,0,spending time in an outdoor public space,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,"no, i haven’t experienced any verbal abuse or physical violence",0,0,1,0,2,,,,,,,34,183,include,manhattan,,,central harlem,,,central harlem,0.8674242424242424,male,heterosexual,no religion/unaffiliated,None/Unaffiliated,,,FALSE,FALSE,FALSE,TRUE,FALSE,Other langugage spoken at home,0,hispanic or latinx,hispanic or latinx,hispanic or latinx,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No children in household,No senior citizens in household,FALSE,FALSE,FALSE,FALSE,Household with no disability,bachelor’s degree,5,1,Bachelor's or Higher,0,1,0,1,1,FALSE,TRUE,HH income below $36500,Below Poverty Level,Below Median Income,FALSE,employed,employed,FALSE,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,
