zip,borough,bronx,bk,mh,qu,si,neighborhood
10451,bronx,high bridge and morrisania,,,,,high bridge and morrisania
10452,bronx,high bridge and morrisania,,,,,high bridge and morrisania
10453,bronx,central bronx,,,,,central bronx
10454,bronx,hunts point and mott haven,,,,,hunts point and mott haven
10455,bronx,hunts point and mott haven,,,,,hunts point and mott haven
10456,bronx,high bridge and morrisania,,,,,high bridge and morrisania
10457,bronx,central bronx,,,,,central bronx
10458,bronx,bronx park and fordham,,,,,bronx park and fordham
10459,bronx,hunts point and mott haven,,,,,hunts point and mott haven
10460,bronx,central bronx,,,,,central bronx
10461,bronx,southeast bronx,,,,,southeast bronx
10462,bronx,southeast bronx,,,,,southeast bronx
10463,bronx,kingsbridge and riverdale,,,,,kingsbridge and riverdale
10464,bronx,southeast bronx,,,,,southeast bronx
10465,bronx,southeast bronx,,,,,southeast bronx
10466,bronx,northeast bronx,,,,,northeast bronx
10467,bronx,bronx park and fordham,,,,,bronx park and fordham
10468,bronx,bronx park and fordham,,,,,bronx park and fordham
10469,bronx,northeast bronx,,,,,northeast bronx
10470,bronx,northeast bronx,,,,,northeast bronx
10471,bronx,kingsbridge and riverdale,,,,,kingsbridge and riverdale
10472,bronx,southeast bronx,,,,,southeast bronx
10473,bronx,southeast bronx,,,,,southeast bronx
10474,bronx,hunts point and mott haven,,,,,hunts point and mott haven
10475,bronx,northeast bronx,,,,,northeast bronx
11201,brooklyn,,northwest brooklyn,,,,northwest brooklyn
11203,brooklyn,,flatbush,,,,flatbush
11204,brooklyn,,borough park,,,,borough park
11205,brooklyn,,northwest brooklyn,,,,northwest brooklyn
11206,brooklyn,,bushwick and williamsburg,,,,bushwick and williamsburg
11207,brooklyn,,east new york and new lots,,,,east new york and new lots
11208,brooklyn,,east new york and new lots,,,,east new york and new lots
11209,brooklyn,,southwest brooklyn,,,,southwest brooklyn
11210,brooklyn,,flatbush,,,,flatbush
11211,brooklyn,,greenpoint,,,,greenpoint
11212,brooklyn,,central brooklyn,,,,central brooklyn
11213,brooklyn,,central brooklyn,,,,central brooklyn
11214,brooklyn,,southwest brooklyn,,,,southwest brooklyn
11215,brooklyn,,northwest brooklyn,,,,northwest brooklyn
11216,brooklyn,,central brooklyn,,,,central brooklyn
11217,brooklyn,,northwest brooklyn,,,,northwest brooklyn
11218,brooklyn,,borough park,,,,borough park
11219,brooklyn,,borough park,,,,borough park
11220,brooklyn,,sunset park,,,,sunset park
11221,brooklyn,,bushwick and williamsburg,,,,bushwick and williamsburg
11222,brooklyn,,greenpoint,,,,greenpoint
11223,brooklyn,,southern brooklyn,,,,southern brooklyn
11224,brooklyn,,southern brooklyn,,,,southern brooklyn
11225,brooklyn,,flatbush,,,,flatbush
11226,brooklyn,,flatbush,,,,flatbush
11228,brooklyn,,southwest brooklyn,,,,southwest brooklyn
11229,brooklyn,,southern brooklyn,,,,southern brooklyn
11230,brooklyn,,borough park,,,,borough park
11231,brooklyn,,northwest brooklyn,,,,northwest brooklyn
11232,brooklyn,,sunset park,,,,sunset park
11233,brooklyn,,central brooklyn,,,,central brooklyn
11234,brooklyn,,canarsie and flatlands,,,,canarsie and flatlands
11235,brooklyn,,southern brooklyn,,,,southern brooklyn
11236,brooklyn,,canarsie and flatlands,,,,canarsie and flatlands
11237,brooklyn,,bushwick and williamsburg,,,,bushwick and williamsburg
11238,brooklyn,,central brooklyn,,,,central brooklyn
11239,brooklyn,,canarsie and flatlands,,,,canarsie and flatlands
11249,brooklyn,,,,,,
11251,brooklyn,,,,,,
83,manhattan,,,,,,
10001,manhattan,,,chelsea and clinton,,,chelsea and clinton
10002,manhattan,,,lower east side,,,lower east side
10003,manhattan,,,lower east side,,,lower east side
10004,manhattan,,,lower manhattan,,,lower manhattan
10005,manhattan,,,lower manhattan,,,lower manhattan
10006,manhattan,,,lower manhattan,,,lower manhattan
10007,manhattan,,,lower manhattan,,,lower manhattan
10009,manhattan,,,lower east side,,,lower east side
10010,manhattan,,,gramercy park and murray hill,,,gramercy park and murray hill
10011,manhattan,,,chelsea and clinton,,,chelsea and clinton
10012,manhattan,,,greenwich village and soho,,,greenwich village and soho
10013,manhattan,,,greenwich village and soho,,,greenwich village and soho
10014,manhattan,,,greenwich village and soho,,,greenwich village and soho
10016,manhattan,,,gramercy park and murray hill,,,gramercy park and murray hill
10017,manhattan,,,gramercy park and murray hill,,,gramercy park and murray hill
10018,manhattan,,,chelsea and clinton,,,chelsea and clinton
10019,manhattan,,,chelsea and clinton,,,chelsea and clinton
10020,manhattan,,,chelsea and clinton,,,chelsea and clinton
10021,manhattan,,,upper east side,,,upper east side
10022,manhattan,,,gramercy park and murray hill,,,gramercy park and murray hill
10023,manhattan,,,upper west side,,,upper west side
10024,manhattan,,,upper west side,,,upper west side
10025,manhattan,,,upper west side,,,upper west side
10026,manhattan,,,central harlem,,,central harlem
10027,manhattan,,,central harlem,,,central harlem
10028,manhattan,,,upper east side,,,upper east side
10029,manhattan,,,east harlem,,,east harlem
10030,manhattan,,,central harlem,,,central harlem
10031,manhattan,,,inwood and washington heights,,,inwood and washington heights
10032,manhattan,,,inwood and washington heights,,,inwood and washington heights
10033,manhattan,,,inwood and washington heights,,,inwood and washington heights
10034,manhattan,,,inwood and washington heights,,,inwood and washington heights
10035,manhattan,,,east harlem,,,east harlem
10036,manhattan,,,chelsea and clinton,,,chelsea and clinton
10037,manhattan,,,central harlem,,,central harlem
10038,manhattan,,,lower manhattan,,,lower manhattan
10039,manhattan,,,central harlem,,,central harlem
10040,manhattan,,,inwood and washington heights,,,inwood and washington heights
10041,manhattan,,,,,,
10043,manhattan,,,,,,
10044,manhattan,,,upper east side,,,upper east side
10045,manhattan,,,,,,
10047,manhattan,,,,,,
10048,manhattan,,,,,,
10055,manhattan,,,,,,
10065,manhattan,,,upper east side,,,upper east side
10069,manhattan,,,,,,
10075,manhattan,,,upper east side,,,upper east side
10080,manhattan,,,,,,
10081,manhattan,,,,,,
10096,manhattan,,,,,,
10097,manhattan,,,,,,
10103,manhattan,,,,,,
10104,manhattan,,,,,,
10105,manhattan,,,,,,
10106,manhattan,,,,,,
10107,manhattan,,,,,,
10110,manhattan,,,,,,
10111,manhattan,,,,,,
10112,manhattan,,,,,,
10115,manhattan,,,,,,
10118,manhattan,,,,,,
10119,manhattan,,,,,,
10120,manhattan,,,,,,
10121,manhattan,,,,,,
10122,manhattan,,,,,,
10123,manhattan,,,,,,
10128,manhattan,,,upper east side,,,upper east side
10151,manhattan,,,,,,
10152,manhattan,,,,,,
10153,manhattan,,,,,,
10154,manhattan,,,,,,
10155,manhattan,,,,,,
10158,manhattan,,,,,,
